app,ts,event,project_id,source,ident,user_id,session_id,country,device_type,device_os,device_os_ver,device_browser,device_browser_ver,props,nums
seq-market,2024-04-01 17:02:46.221,BUY_ITEMS,1609,,1,9767b0aa441a74a897cd8f82a55d62ad8685248d8bb2dd673c,be6c83f2e4247cbb,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""currencySymbol"":""MATIC"",""marketplaceType"":""p2p"",""txnHash"":""0x273840d8ce84e27f89c5af166ef36bea8ec669bc44b0bd16e2ebd3978023e6d5"",""chainId"":""137"",""collectionAddress"":""0x80e919391b82815327842ae55f57430571fc8b2c"",""currencyAddress"":""0x0000000000000000000000000000000000000000""}","{""currencyValueDecimal"":""494000000000000000"",""currencyValueRaw"":""494000000000000000""}"
seq-market,2024-04-01 23:45:31.889,BUY_ITEMS,1609,,1,9767b0aa441a74a897cd8f82a55d62ad8685248d8bb2dd673c,011e5d79c35bc725,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""collectionAddress"":""0x80e919391b82815327842ae55f57430571fc8b2c"",""currencyAddress"":""0x0000000000000000000000000000000000000000"",""currencySymbol"":""MATIC"",""marketplaceType"":""p2p"",""txnHash"":""0x790573d350201a6b47d598c0c70633361e137e2afd6d5df6ed0dbb61df0bf77b"",""chainId"":""137""}","{""currencyValueDecimal"":""494000000000000000"",""currencyValueRaw"":""494000000000000000""}"
seq-market,2024-04-01 23:46:13.302,BUY_ITEMS,1609,,1,9767b0aa441a74a897cd8f82a55d62ad8685248d8bb2dd673c,011e5d79c35bc725,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""marketplaceType"":""p2p"",""txnHash"":""0x1bb6b555c8743f523b5423abe2b94611712a53f6cbaee5ca6fbdb3bed09b1a37"",""chainId"":""137"",""collectionAddress"":""0x80e919391b82815327842ae55f57430571fc8b2c"",""currencyAddress"":""0x0000000000000000000000000000000000000000"",""currencySymbol"":""MATIC""}","{""currencyValueDecimal"":""494000000000000000"",""currencyValueRaw"":""494000000000000000""}"
seq-market,2024-04-01 06:39:34.720,BUY_ITEMS,4974,,1,98cf400851fc055e7e760553855da938551c4e1b177616fedd,fbf70f4a911fb271,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x61147d703c176773c99dc53e7bd83368d1124dc7e5f58d35c64f06da9d2987dc"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422""}","{""currencyValueDecimal"":""2.2111536080977348"",""currencyValueRaw"":""2211153608097734700""}"
seq-market,2024-04-01 05:28:30.874,BUY_ITEMS,1609,,1,9e3dc391d3082e3af381a2408addf9e1d0297c052c2bab7471,e5bbc63a060263e0,US,mobile,ios,17.3,chrome,123.0.6312.52,"{""currencySymbol"":""MATIC"",""marketplaceType"":""p2p"",""txnHash"":""0x4de9b3b8c360e6b02a9e149cbff630bd6fa2acfe287e798b2034b0433b3ae923"",""chainId"":""137"",""collectionAddress"":""0x80e919391b82815327842ae55f57430571fc8b2c"",""currencyAddress"":""0x0000000000000000000000000000000000000000""}","{""currencyValueRaw"":""2660000000000000000"",""currencyValueDecimal"":""2660000000000000000""}"
seq-market,2024-04-01 02:01:37.588,BUY_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,d9732b9d2a3449ba,ES,mobile,android,10,chrome,92.0.4515.105,"{""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x5d41b96dfe2949fe20d67b270903cbd5cc5143236659e047ab8d5b4082ee7ece"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422""}","{""currencyValueDecimal"":""8.56096194217828"",""currencyValueRaw"":""8560961942178278000""}"
seq-market,2024-04-01 03:05:28.622,BUY_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,d9732b9d2a3449ba,ES,mobile,android,10,chrome,92.0.4515.105,"{""txnHash"":""0x8f21abe604ba361accae56d614515274172271b5aeb0f7e1da8b486c1de3e4ad"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueRaw"":""1991740445198501400"",""currencyValueDecimal"":""1.9917404451985012""}"
seq-market,2024-04-01 03:41:12.932,BUY_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,d9732b9d2a3449ba,ES,mobile,android,10,chrome,92.0.4515.105,"{""marketplaceType"":""p2p"",""txnHash"":""0xd709a7fac96d89bd87a21e2a1c1c9808f5541a52aecc76701c4155092c182744"",""chainId"":""137"",""collectionAddress"":""0x624e4fa6980afcf8ea27bfe08e2fb5979b64df1c"",""currencyAddress"":""0x0000000000000000000000000000000000000000"",""currencySymbol"":""MATIC""}","{""currencyValueDecimal"":""1890000000000000000"",""currencyValueRaw"":""1890000000000000000""}"
seq-market,2024-04-01 05:27:47.338,BUY_ITEMS,4974,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,ad93a9d5b8a90c90,ES,mobile,android,10,chrome,92.0.4515.105,"{""marketplaceType"":""amm"",""txnHash"":""0xc8e9399debcb1c4fb02687a066fec8b2decb713eee6534c45a57af8bbc4cdbe2"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL""}","{""currencyValueDecimal"":""0.7753628553792072"",""currencyValueRaw"":""775362855379207200""}"
seq-market,2024-04-01 05:31:31.455,BUY_ITEMS,4974,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,ad93a9d5b8a90c90,ES,mobile,android,10,chrome,92.0.4515.105,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xb9f8bdc7b156c4e385f6439db89d35d4f20700824d2860e083cf50d05bbe1c27""}","{""currencyValueDecimal"":""0.35128974965519355"",""currencyValueRaw"":""351289749655193540""}"
seq-market,2024-04-01 05:38:40.290,BUY_ITEMS,4974,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,ad93a9d5b8a90c90,ES,mobile,android,10,chrome,92.0.4515.105,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x041f567d6978c04e792ad3e996c76f325f4a878d9d1468dfb4956156d5fe7a53""}","{""currencyValueDecimal"":""6.074935895987166"",""currencyValueRaw"":""6074935895987166000""}"
seq-market,2024-04-01 05:45:15.205,BUY_ITEMS,4974,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,ad93a9d5b8a90c90,ES,mobile,android,10,chrome,92.0.4515.105,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xb3e04f1daa0a71464940273ebcddfdf7fe23fc6773599ea023b7e401bee2a8ca""}","{""currencyValueDecimal"":""4.954101489674308"",""currencyValueRaw"":""4954101489674308000""}"
seq-market,2024-04-01 13:21:37.230,BUY_ITEMS,4974,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,5fbfe1d08dfc147e,ES,mobile,android,10,chrome,92.0.4515.105,"{""txnHash"":""0x6ce3488684236b63cb684037da32f4df451bfae9da97c1a9d498bae2b81518bd"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueDecimal"":""117.23104577428315"",""currencyValueRaw"":""117231045774283150000""}"
seq-market,2024-04-01 14:14:37.226,BUY_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,4a964cda2b2399d7,ES,mobile,android,10,chrome,92.0.4515.105,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0x2791bca1f2de4661ed88a30c99a7a9449aa84174"",""currencySymbol"":""USDC.E"",""marketplaceType"":""amm"",""txnHash"":""0x5a459a9e89e6cfb229b98e32c8963542fead67303a765ab3af85d4c19df4d76e"",""chainId"":""137""}","{""currencyValueDecimal"":""5.031925"",""currencyValueRaw"":""5031925""}"
seq-market,2024-04-01 14:30:22.669,BUY_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,e7def6e2b58c5bf4,ES,mobile,android,10,chrome,92.0.4515.105,"{""currencyAddress"":""0x2791bca1f2de4661ed88a30c99a7a9449aa84174"",""currencySymbol"":""USDC.E"",""marketplaceType"":""amm"",""txnHash"":""0xe2128004d1874e1bd63aaf73a14c511a12ec1b3fc5a7947319ddd1e4ec89dfed"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422""}","{""currencyValueDecimal"":""3.191386"",""currencyValueRaw"":""3191386""}"
