date,project_id,num_transactions,total_vol_in_usd
2024-04-15,4974,4.87,4.87
2024-04-15,1609,57000000000000000000.00,57000000000000000000.00
2024-04-15,0,1.01,1.01
2024-04-15,0,0.33,0.33
2024-04-15,0,3.13,3.13
2024-04-15,0,1.02,1.02
2024-04-15,0,3.13,3.13
2024-04-15,0,0.87,0.87
2024-04-15,0,8.69,8.69
2024-04-15,0,3.52,3.52
2024-04-15,0,2.89,2.89
2024-04-15,0,3.75,3.75
2024-04-15,0,1.07,1.07
2024-04-15,0,10.76,10.76
2024-04-15,0,24.32,24.32
2024-04-15,0,24.95,24.95
2024-04-15,4974,0.50,0.50
2024-04-15,4974,0.17,0.17
2024-04-15,4974,0.32,0.32
2024-04-15,4974,1.69,1.69
2024-04-15,4974,1.90,1.90
2024-04-15,4974,1.72,1.72
2024-04-15,4974,0.78,0.78
2024-04-15,4974,0.65,0.65
2024-04-15,4974,38.51,38.51
2024-04-15,4974,0.28,0.28
2024-04-15,4974,0.20,0.20
2024-04-15,4974,0.49,0.49
2024-04-15,4974,0.36,0.36
2024-04-15,4974,0.28,0.28
2024-04-15,0,0.37,0.37
2024-04-15,4974,46.94,46.94
2024-04-15,0,2.92,2.92
2024-04-15,0,10.21,10.21
2024-04-15,0,15.02,15.02
2024-04-15,0,6.01,6.01
2024-04-15,0,3.16,3.16
2024-04-15,0,5.26,5.26
2024-04-15,0,5.24,5.24
2024-04-15,0,4.82,4.82
2024-04-15,0,3.01,3.01
2024-04-15,0,18.36,18.36
2024-04-15,0,4.03,4.03
2024-04-15,0,2.47,2.47
2024-04-15,4974,0.01,0.01
2024-04-15,4974,6.47,6.47
2024-04-15,4974,0.15,0.15
2024-04-15,4974,3.64,3.64
2024-04-15,4974,0.08,0.08
2024-04-15,4974,0.02,0.02
2024-04-15,4974,1.36,1.36
2024-04-15,4974,0.03,0.03
2024-04-15,4974,0.11,0.11
2024-04-15,4974,0.03,0.03
2024-04-15,4974,0.32,0.32
2024-04-15,4974,2.35,2.35
2024-04-15,4974,0.31,0.31
2024-04-15,4974,4.15,4.15
2024-04-15,4974,0.48,0.48
2024-04-15,4974,6.73,6.73
2024-04-15,4974,1.14,1.14
2024-04-15,4974,0.24,0.24
2024-04-15,4974,0.20,0.20
2024-04-15,4974,0.51,0.51
2024-04-15,4974,0.23,0.23
2024-04-15,4974,29.98,29.98
2024-04-15,4974,45.88,45.88
2024-04-15,0,28.77,28.77
2024-04-15,0,147.16,147.16
2024-04-15,0,66.45,66.45
2024-04-15,0,61.16,61.16
2024-04-15,0,314.87,314.87
2024-04-15,0,591.68,591.68
2024-04-15,0,3.69,3.69
2024-04-15,0,1.14,1.14
2024-04-15,0,1.12,1.12
2024-04-15,0,1.98,1.98
2024-04-15,0,2.29,2.29
2024-04-15,0,11.77,11.77
2024-04-15,0,4.16,4.16
2024-04-15,0,131.73,131.73
2024-04-15,0,2.89,2.89
2024-04-15,0,0.33,0.33
2024-04-15,0,2.75,2.75
2024-04-15,4974,10.11,10.11
2024-04-15,0,0.22,0.22
2024-04-15,0,5.62,5.62
2024-04-15,0,2.42,2.42
2024-04-15,0,0.18,0.18
2024-04-15,0,1.43,1.43
2024-04-15,0,0.37,0.37
2024-04-15,0,0.93,0.93
2024-04-15,0,1.92,1.92
2024-04-15,0,1.28,1.28
2024-04-15,0,2.37,2.37
2024-04-15,0,0.16,0.16
2024-04-15,0,0.15,0.15
2024-04-15,0,0.12,0.12
2024-04-15,0,0.12,0.12
2024-04-15,0,0.13,0.13
2024-04-15,0,0.13,0.13
2024-04-15,0,0.45,0.45
2024-04-15,0,0.05,0.05
2024-04-15,0,0.18,0.18
2024-04-15,0,0.20,0.20
2024-04-15,0,0.20,0.20
2024-04-15,0,35.36,35.36
2024-04-15,0,0.49,0.49
2024-04-15,0,0.18,0.18
2024-04-15,0,0.27,0.27
2024-04-15,0,0.20,0.20
2024-04-15,0,0.41,0.41
2024-04-15,0,0.55,0.55
2024-04-15,0,0.23,0.23
2024-04-15,0,0.29,0.29
2024-04-15,0,0.45,0.45
2024-04-15,0,0.25,0.25
2024-04-15,0,0.27,0.27
2024-04-15,0,0.63,0.63
2024-04-15,0,0.55,0.55
2024-04-15,0,0.29,0.29
2024-04-15,0,0.92,0.92
2024-04-15,0,0.33,0.33
2024-04-15,0,0.80,0.80
2024-04-15,0,0.97,0.97
2024-04-15,0,0.30,0.30
2024-04-15,0,0.56,0.56
2024-04-15,0,0.20,0.20
2024-04-15,0,0.25,0.25
2024-04-15,0,0.25,0.25
2024-04-15,0,0.38,0.38
2024-04-15,0,0.49,0.49
2024-04-15,0,0.55,0.55
2024-04-15,0,0.47,0.47
2024-04-15,0,0.44,0.44
2024-04-15,0,0.53,0.53
2024-04-15,0,0.49,0.49
2024-04-15,0,0.48,0.48
2024-04-15,0,0.50,0.50
2024-04-15,0,36.91,36.91
2024-04-15,0,41.92,41.92
2024-04-15,0,39.84,39.84
2024-04-15,0,0.39,0.39
2024-04-15,0,0.18,0.18
2024-04-15,0,0.66,0.66
2024-04-15,0,1.23,1.23
2024-04-15,0,0.07,0.07
2024-04-15,0,0.07,0.07
2024-04-15,0,1.15,1.15
2024-04-15,0,2.51,2.51
2024-04-15,0,1.20,1.20
2024-04-15,0,0.05,0.05
2024-04-15,0,1.04,1.04
2024-04-15,0,1.69,1.69
2024-04-15,4974,79.50,79.50
2024-04-15,4974,60.32,60.32
2024-04-15,4974,40.20,40.20
2024-04-15,4974,30.96,30.96
2024-04-15,4974,46.87,46.87
2024-04-15,4974,159.07,159.07
2024-04-15,4974,270.15,270.15
2024-04-15,4974,36.56,36.56
2024-04-01,0,29.26,29.26
2024-04-01,0,6.24,6.24
2024-04-01,1609,2640000000000000000.00,2640000000000000000.00
2024-04-01,4974,2.83,2.83
2024-04-01,4974,0.62,0.62
2024-04-01,4974,0.52,0.52
2024-04-01,0,9.87,9.87
2024-04-01,0,1.19,1.19
2024-04-01,4974,6.02,6.02
2024-04-01,0,41.61,41.61
2024-04-01,4974,11.05,11.05
2024-04-01,4974,0.33,0.33
2024-04-01,0,0.61,0.61
2024-04-01,0,4.40,4.40
2024-04-01,4974,0.01,0.01
2024-04-01,4974,0.45,0.45
2024-04-01,0,4.37,4.37
2024-04-01,0,0.70,0.70
2024-04-01,4974,1.40,1.40
2024-04-01,4974,0.25,0.25
2024-04-01,4974,3.53,3.53
2024-04-01,4974,1.25,1.25
2024-04-01,4974,17.34,17.34
2024-04-01,4974,4.88,4.88
2024-04-01,4974,0.08,0.08
2024-04-01,4974,6.92,6.92
2024-04-01,4974,1.59,1.59
2024-04-01,1609,3465000000000000000.00,3465000000000000000.00
2024-04-01,0,2.53,2.53
2024-04-01,4974,1.23,1.23
2024-04-01,4974,5.87,5.87
2024-04-01,4974,1.96,1.96
2024-04-01,4974,0.96,0.96
2024-04-01,0,1.15,1.15
2024-04-01,4974,99.12,99.12
2024-04-01,4974,700000000000000000.00,700000000000000000.00
2024-04-01,4974,1.07,1.07
2024-04-01,0,36.35,36.35
2024-04-01,0,3.84,3.84
2024-04-01,0,6.58,6.58
2024-04-01,0,0.32,0.32
2024-04-01,0,15.10,15.10
2024-04-01,0,133.15,133.15
2024-04-01,0,16.19,16.19
2024-04-01,0,25.58,25.58
2024-04-01,0,62.30,62.30
2024-04-01,0,39.85,39.85
2024-04-01,4974,11.92,11.92
2024-04-01,4974,162.01,162.01
2024-04-01,4974,1.34,1.34
2024-04-01,1609,950000000000000000.00,950000000000000000.00
2024-04-01,4974,2.94,2.94
2024-04-01,0,10.93,10.93
2024-04-01,4974,7.64,7.64
2024-04-01,0,267.51,267.51
2024-04-01,0,510.72,510.72
2024-04-01,0,0.37,0.37
2024-04-01,0,4.78,4.78
2024-04-01,0,662.30,662.30
2024-04-01,0,1.15,1.15
2024-04-01,4974,37.89,37.89
2024-04-01,4974,4.71,4.71
2024-04-01,4974,9.44,9.44
2024-04-01,4974,7.07,7.07
2024-04-01,4974,5.71,5.71
2024-04-01,4974,4.45,4.45
2024-04-01,4974,59.55,59.55
2024-04-01,4974,69.48,69.48
2024-04-01,4974,4.15,4.15
2024-04-01,4974,76.43,76.43
2024-04-01,0,35.93,35.93
2024-04-01,0,1.85,1.85
2024-04-01,0,39.45,39.45
2024-04-01,0,3.11,3.11
2024-04-01,0,96.17,96.17
2024-04-01,0,153.22,153.22
2024-04-01,0,65.93,65.93
2024-04-01,0,13.11,13.11
2024-04-01,0,14.01,14.01
2024-04-01,0,3.51,3.51
2024-04-01,0,5.79,5.79
2024-04-01,0,23.50,23.50
2024-04-01,1609,494000000000000000.00,494000000000000000.00
2024-04-01,1609,494000000000000000.00,494000000000000000.00
2024-04-01,1609,494000000000000000.00,494000000000000000.00
2024-04-01,4974,2.21,2.21
2024-04-01,1609,2660000000000000000.00,2660000000000000000.00
2024-04-01,0,8.56,8.56
2024-04-01,0,1.99,1.99
2024-04-01,0,1890000000000000000.00,1890000000000000000.00
2024-04-01,4974,0.78,0.78
2024-04-01,4974,0.35,0.35
2024-04-01,4974,6.07,6.07
2024-04-01,4974,4.95,4.95
2024-04-01,4974,117.23,117.23
2024-04-01,0,5.03,5.03
2024-04-01,0,3.19,3.19
2024-04-01,0,1.51,1.51
2024-04-01,0,3.12,3.12
2024-04-01,0,1.64,1.64
2024-04-01,0,1.62,1.62
2024-04-01,4974,12.91,12.91
2024-04-01,4974,1942000000000000000.00,1942000000000000000.00
2024-04-01,4974,3589250.00,3589250.00
2024-04-01,4974,1110000.00,1110000.00
2024-04-01,4974,9490000.00,9490000.00
2024-04-01,4974,4491000.00,4491000.00
2024-04-01,4974,3520000000000000000.00,3520000000000000000.00
2024-04-01,4974,1800000.00,1800000.00
2024-04-01,0,27.16,27.16
2024-04-01,0,2.84,2.84
2024-04-01,0,2.98,2.98
2024-04-01,0,53.80,53.80
2024-04-01,0,24795000000000000000.00,24795000000000000000.00
2024-04-01,0,8360000000000000000.00,8360000000000000000.00
2024-04-01,0,19000000000000000000.00,19000000000000000000.00
2024-04-01,4974,0.74,0.74
2024-04-01,4974,1.12,1.12
